INDICATOR;Indicator;Code;Country;Year;Time;Value;Flag Codes;Flags
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2019;2019;5253.21059;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2020;2020;5750.1439;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2000;2000;3527.48297;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2001;2001;3708.21662;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2002;2002;3719.25787;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2003;2003;3913.5484;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2004;2004;4098.00332;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2005;2005;4250.05244;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2006;2006;4323.08007;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2007;2007;4595.39481;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2008;2008;4715.39105;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2009;2009;4451.47828;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2010;2010;4646.30508;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2011;2011;4780.08165;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2012;2012;4627.4515;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2013;2013;4623.11761;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2014;2014;4541.84807;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2015;2015;4523.31489;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2016;2016;4369.6299;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2017;2017;4422.56288;;
RPMI;Researchers per million inhabitants (FTE);CAN;Canada;2018;2018;4516.3042;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2000;2000;1346.24335;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2001;2001;1459.15571;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2002;2002;1460.55587;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2003;2003;1543.97793;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2004;2004;1591.85157;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2005;2005;2356.08067;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2006;2006;2550.5671;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2007;2007;2691.54938;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2008;2008;2857.02226;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2009;2009;2742.07513;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2010;2010;2773.95996;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2011;2011;2903.66154;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2012;2012;3139.23525;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2013;2013;3237.23584;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2014;2014;3402.82622;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2015;2015;3592.07367;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2016;2016;3516.17175;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2017;2017;3682.03353;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2018;2018;3862.68335;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2019;2019;3976.00421;;
RPMI;Researchers per million inhabitants (FTE);CZE;Czechia;2020;2020;4127.93337;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2001;2001;3630.60375;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2002;2002;4754.85692;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2003;2003;4618.92274;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2004;2004;4843.25403;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2005;2005;5197.44741;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2006;2006;5298.45015;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2007;2007;5516.35572;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2008;2008;6493.89539;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2009;2009;6656.97016;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2010;2010;6739.18115;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2011;2011;7017.93917;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2012;2012;7143.2887;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2013;2013;7071.13776;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2014;2014;7310.65804;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2015;2015;7528.26439;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2016;2016;7846.65759;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2017;2017;7669.90552;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2018;2018;7636.13314;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2019;2019;7739.42476;;
RPMI;Researchers per million inhabitants (FTE);DNK;Denmark;2020;2020;7691.89334;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2004;2004;7821.86137;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2005;2005;7526.63043;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2006;2006;7657.22083;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2007;2007;7361.54046;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2008;2008;7684.80833;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2009;2009;7646.33708;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2010;2010;7720.22345;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2011;2011;7421.582;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2012;2012;7473.70618;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2013;2013;7206.5324;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2014;2014;7009.28753;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2015;2015;6844.54752;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2016;2016;6531.47954;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2017;2017;6721.83019;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2018;2018;6861.14596;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2019;2019;7227.54384;;
RPMI;Researchers per million inhabitants (FTE);FIN;Finland;2020;2020;7527.36106;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2000;2000;2915.69466;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2001;2001;2986.85851;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2002;2002;3117.21193;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2003;2003;3199.74823;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2004;2004;3334.16691;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2005;2005;3313.25866;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2006;2006;3423.74845;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2007;2007;3585.80596;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2008;2008;3659.88478;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2009;2009;3747.28462;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2010;2010;3873.01285;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2011;2011;3942.38881;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2012;2012;4073.25058;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2013;2013;4154.81555;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2014;2014;4233.6383;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2015;2015;4336.01435;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2016;2016;4414.6989;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2017;2017;4569.90764;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2018;2018;4699.74174;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2019;2019;4811.53098;;
RPMI;Researchers per million inhabitants (FTE);FRA;France;2020;2020;4926.18876;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2000;2000;3167.95093;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2001;2001;3245.82431;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2002;2002;3260.09201;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2003;2003;3295.27713;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2004;2004;3309.57342;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2005;2005;3335.03503;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2006;2006;3434.56922;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2007;2007;3578.50351;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2008;2008;3733.27814;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2009;2009;3922.2145;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2010;2010;4058.00032;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2011;2011;4188.81149;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2012;2012;4352.32261;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2013;2013;4366.68635;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2014;2014;4320.70432;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2015;2015;4743.7863;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2016;2016;4861.74329;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2017;2017;5076.5192;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2018;2018;5217.30012;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2019;2019;5396.4705;;
RPMI;Researchers per million inhabitants (FTE);DEU;Germany;2020;2020;5393.14562;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2001;2001;1290.70596;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2003;2003;1393.29901;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2005;2005;1745.4921;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2006;2006;1779.74915;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2007;2007;1889.68736;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2011;2011;2278.51787;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2012;2012;2300.31448;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2013;2013;2721.31093;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2014;2014;2791.8715;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2015;2015;3255.9863;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2016;2016;2769.89991;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2017;2017;3311.44856;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2018;2018;3486.71567;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2019;2019;3731.04577;;
RPMI;Researchers per million inhabitants (FTE);GRC;Greece;2020;2020;4010.34092;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2000;2000;1409.51912;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2001;2001;1438.76719;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2002;2002;1471.87798;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2003;2003;1496.84332;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2004;2004;1473.53102;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2005;2005;1574.27119;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2006;2006;1744.98861;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2007;2007;1734.91036;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2008;2008;1851.90616;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2009;2009;2014.5713;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2010;2010;2149.8141;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2011;2011;2326.16657;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2012;2012;2416.47759;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2013;2013;2546.08461;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2014;2014;2673.43438;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2015;2015;2589.09791;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2016;2016;2645.75681;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2017;2017;2921.5331;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2018;2018;3873.91232;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2019;2019;4057.43959;;
RPMI;Researchers per million inhabitants (FTE);HUN;Hungary;2020;2020;4357.91619;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2001;2001;6572.47788;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2003;2003;6657.35956;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2005;2005;7305.2658;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2006;2006;8006.67289;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2007;2007;7235.98628;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2008;2008;7423.61093;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2009;2009;7925.97655;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2011;2011;6981.39572;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2013;2013;5648.36011;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2015;2015;5887.90678;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2016;2016;6640.45803;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2017;2017;6130.51111;;
RPMI;Researchers per million inhabitants (FTE);ISL;Iceland;2018;2018;6088.27102;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2000;2000;2251.06216;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2001;2001;2329.10707;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2002;2002;2399.18239;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2003;2003;2522.31364;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2004;2004;2713.07228;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2005;2005;2797.96572;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2006;2006;2877.11763;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2007;2007;2935.43441;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2008;2008;3284.06258;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2009;2009;3156.91625;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2010;2010;3112.64841;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2011;2011;3325.77887;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2012;2012;4853.9581;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2013;2013;5136.47506;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2014;2014;5304.47968;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2015;2015;5270.65971;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2016;2016;5178.24391;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2017;2017;5142.76566;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2018;2018;4733.21567;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2019;2019;4820.69106;;
RPMI;Researchers per million inhabitants (FTE);IRL;Ireland;2020;2020;4769.14147;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2000;2000;1166.12207;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2001;2001;1172.77939;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2002;2002;1245.87026;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2003;2003;1221.79803;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2004;2004;1242.69299;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2005;2005;1415.36006;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2006;2006;1510.51664;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2007;2007;1583.03806;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2008;2008;1625.30333;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2009;2009;1723.02044;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2010;2010;1743.3443;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2011;2011;1781.38859;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2012;2012;1848.62689;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2013;2013;1930.68673;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2014;2014;1956.36059;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2015;2015;2077.88262;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2016;2016;2204.07609;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2017;2017;2313.65481;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2018;2018;2512.18548;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2019;2019;2656.04956;;
RPMI;Researchers per million inhabitants (FTE);ITA;Italy;2020;2020;2671.83462;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2000;2000;5078.03328;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2001;2001;5113.15815;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2002;2002;4871.53026;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2003;2003;5094.30965;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2004;2004;5099.26372;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2005;2005;5303.91647;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2006;2006;5333.04329;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2007;2007;5325.62374;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2008;2008;5108.78261;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2009;2009;5099.21074;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2010;2010;5103.62526;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2011;2011;5110.16567;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2012;2012;5032.93122;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2013;2013;5147.43517;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2014;2014;5328.40955;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2015;2015;5173.03053;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2016;2016;5209.36906;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2017;2017;5304.13762;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2018;2018;5331.15027;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2019;2019;5374.58129;;
RPMI;Researchers per million inhabitants (FTE);JPN;Japan;2020;2020;5454.68299;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2000;2000;2287.28865;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2001;2001;2857.84513;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2002;2002;2956.63207;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2003;2003;3134.09011;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2004;2004;3221.46022;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2005;2005;3692.16563;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2006;2006;4091.41112;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2007;2007;4525.93231;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2008;2008;4801.24195;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2009;2009;4946.08574;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2010;2010;5330.8012;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2011;2011;5802.83693;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2012;2012;6304.13833;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2013;2013;6392.6361;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2014;2014;6826.27375;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2015;2015;7013.4907;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2016;2016;7086.44637;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2017;2017;7497.59608;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2018;2018;7980.39565;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2019;2019;8407.75825;;
RPMI;Researchers per million inhabitants (FTE);KOR;Republic of Korea;2020;2020;8713.59383;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2000;2000;3773.4205;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2003;2003;4357.04034;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2004;2004;4494.72023;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2005;2005;4864.12343;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2006;2006;4411.84682;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2007;2007;4633.67129;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2008;2008;4712.76563;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2009;2009;4826.32364;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2010;2010;5144.98247;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2011;2011;5451.36114;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2012;2012;4352.17017;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2013;2013;4614.21778;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2014;2014;4741.07149;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2015;2015;4604.92535;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2016;2016;4776.57855;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2017;2017;4960.21355;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2018;2018;4738.47529;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2019;2019;5076.90883;;
RPMI;Researchers per million inhabitants (FTE);LUX;Luxembourg;2020;2020;4920.30071;;
RPMI;Researchers per million inhabitants (FTE);MEX;Mexico;2000;2000;224.7512;;
RPMI;Researchers per million inhabitants (FTE);MEX;Mexico;2001;2001;233.20776;;
